"CategoryID"	"ProductID"
"Swim Flash Sale 3.19"	"0500045454741"
"Swim Flash Sale 3.19"	"0500045453917"
"Swim Flash Sale 3.19"	"0500045453735"
"Swim Flash Sale 3.19"	"0500045453834"
"Swim Flash Sale 3.19"	"0500045453990"
"Swim Flash Sale 3.19"	"0500045454089"
"Swim Flash Sale 3.19"	"0500045454238"
"Swim Flash Sale 3.19"	"0500045454337"
"Swim Flash Sale 3.19"	"0500045454451"
"Swim Flash Sale 3.19"	"0500045454147"
"Swim Flash Sale 3.19"	"0500045454287"
"Swim Flash Sale 3.19"	"0500045454493"
"Swim Flash Sale 3.19"	"0500045453867"
"Swim Flash Sale 3.19"	"0500045453941"
"Swim Flash Sale 3.19"	"0500045454725"
"Swim Flash Sale 3.19"	"0500045454543"
"Swim Flash Sale 3.19"	"0500035123207"
"Swim Flash Sale 3.19"	"0500035123363"
"Swim Flash Sale 3.19"	"0500035123124"
"Swim Flash Sale 3.19"	"0500035123249"
"Swim Flash Sale 3.19"	"0500035123322"
"Swim Flash Sale 3.19"	"0500044123636"
"Swim Flash Sale 3.19"	"0500035123439"
"Swim Flash Sale 3.19"	"0500035123165"
"Swim Flash Sale 3.19"	"0500035123710"
"Swim Flash Sale 3.19"	"0500035123082"
"Swim Flash Sale 3.19"	"0500035123280"
"Swim Flash Sale 3.19"	"0500033408998"
"Swim Flash Sale 3.19"	"0500049246622"
"Swim Flash Sale 3.19"	"0500033239724"
"Swim Flash Sale 3.19"	"0500033244229"
"Swim Flash Sale 3.19"	"0500048828966"
"Swim Flash Sale 3.19"	"0500048829154"
"Swim Flash Sale 3.19"	"0500033233321"
"Swim Flash Sale 3.19"	"0500033255605"
"Swim Flash Sale 3.19"	"0500033246364"
"Swim Flash Sale 3.19"	"0500048829204"
"Swim Flash Sale 3.19"	"0500048828917"
"Swim Flash Sale 3.19"	"0500033246315"
"Swim Flash Sale 3.19"	"0500049245996"
"Swim Flash Sale 3.19"	"0500049244981"
"Swim Flash Sale 3.19"	"0500049245830"
"Swim Flash Sale 3.19"	"0500049246317"
"Swim Flash Sale 3.19"	"0500049244965"
"Swim Flash Sale 3.19"	"0500049245137"
"Swim Flash Sale 3.19"	"0500045456936"
"Swim Flash Sale 3.19"	"0500045458346"
"Swim Flash Sale 3.19"	"0500045457926"
"Swim Flash Sale 3.19"	"0500019614957"
"Swim Flash Sale 3.19"	"0500048829113"
"Swim Flash Sale 3.19"	"0500034646653"
"Swim Flash Sale 3.19"	"0500034647453"
"Swim Flash Sale 3.19"	"0500048829014"
"Swim Flash Sale 3.19"	"0500048828800"
"Swim Flash Sale 3.19"	"0500034644385"
